ID;NAMA PRODUK;VARIAN;NAMA FILE FOTO (ISI DISINI)
bc-002-1;Kotak Cupcake isi 4 Motif / Box Cupcake / Kotak Muffin / Kotak Kue / Kotak Souvenir tenteng / Box Cupcakes;Foodie Hijau Botol;
bc-002-2;Kotak Cupcake isi 4 Motif / Box Cupcake / Kotak Muffin / Kotak Kue / Kotak Souvenir tenteng / Box Cupcakes;Foodie Orange;
bc-002-3;Kotak Cupcake isi 4 Motif / Box Cupcake / Kotak Muffin / Kotak Kue / Kotak Souvenir tenteng / Box Cupcakes;Putih;
bc-005-1;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Lobang,Gold;
bc-005-10;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T10,Maroon;
bc-005-11;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Lobang,Putih;
bc-005-12;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T20,Putih;
bc-005-13;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T20,Hijau;
bc-005-14;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T20,Hitam;
bc-005-15;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T10,Gold;
bc-005-16;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T20,Putih;
bc-005-17;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T20,Hitam;
bc-005-18;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T10,Hitam;
bc-005-19;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T10,Hitam;
bc-005-2;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T10,Putih;
bc-005-20;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T10,Maroon;
bc-005-21;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Lobang,Maroon;
bc-005-22;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T10,Hijau;
bc-005-23;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Lobang,Hitam;
bc-005-24;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T20,Gold;
bc-005-25;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T20,Gold;
bc-005-3;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T10,Hijau;
bc-005-4;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T20,Maroon;
bc-005-5;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Lobang,Hijau;
bc-005-6;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang T20,Hijau;
bc-005-7;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T10,Gold;
bc-005-8;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T10,Putih;
bc-005-9;Box Cupcake Isi 9 / 24 x 24 x 10/20 cm / Box Hampers Mika Termurah / Box Mika Cupcake isi 9 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang T20,Maroon;
bc-006-1;Box Cupcake Isi 16 / 32 x 32 x 12 cm / Box Hampers Mika Termurah/ Box Kue / Box Mika Cupcake isi 16 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Lobang,Gold;
bc-006-2;Box Cupcake Isi 16 / 32 x 32 x 12 cm / Box Hampers Mika Termurah/ Box Kue / Box Mika Cupcake isi 16 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang,Putih;
bc-006-3;Box Cupcake Isi 16 / 32 x 32 x 12 cm / Box Hampers Mika Termurah/ Box Kue / Box Mika Cupcake isi 16 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Tanpa Lobang,Gold;
bc-006-4;Box Cupcake Isi 16 / 32 x 32 x 12 cm / Box Hampers Mika Termurah/ Box Kue / Box Mika Cupcake isi 16 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang,Putih;
bc-006-5;Box Cupcake Isi 16 / 32 x 32 x 12 cm / Box Hampers Mika Termurah/ Box Kue / Box Mika Cupcake isi 16 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Pakai Lobang,Gold;
bc-006-6;Box Cupcake Isi 16 / 32 x 32 x 12 cm / Box Hampers Mika Termurah/ Box Kue / Box Mika Cupcake isi 16 / Kotak Muffin / Kotak Sanggan /Kotak Hantaran / Kotak Mika Transparan / Box Cake / Kotak Kue;Lobang,Putih;
bc-007-1;Box Cupcake Isi 12 /  34 x 24 x 12 cm / Box Hampers Mika Termurah / Box Sanggan / Kotak muffin / Gift Box / Box Kue tart / Box Mika Transparan;Tanpa Lobang,Putih;
bc-007-2;Box Cupcake Isi 12 /  34 x 24 x 12 cm / Box Hampers Mika Termurah / Box Sanggan / Kotak muffin / Gift Box / Box Kue tart / Box Mika Transparan;Lobang,Gold;
bc-007-3;Box Cupcake Isi 12 /  34 x 24 x 12 cm / Box Hampers Mika Termurah / Box Sanggan / Kotak muffin / Gift Box / Box Kue tart / Box Mika Transparan;Lobang,Putih;
bc-007-4;Box Cupcake Isi 12 /  34 x 24 x 12 cm / Box Hampers Mika Termurah / Box Sanggan / Kotak muffin / Gift Box / Box Kue tart / Box Mika Transparan;Pakai Lobang,Gold;
bc-007-5;Box Cupcake Isi 12 /  34 x 24 x 12 cm / Box Hampers Mika Termurah / Box Sanggan / Kotak muffin / Gift Box / Box Kue tart / Box Mika Transparan;Pakai Lobang,Putih;
bc-007-6;Box Cupcake Isi 12 /  34 x 24 x 12 cm / Box Hampers Mika Termurah / Box Sanggan / Kotak muffin / Gift Box / Box Kue tart / Box Mika Transparan;Tanpa Lobang,Gold;
bc-008-1;(5 PCS) Kotak Cupcake isi 6 Motif / Box Cupcake / Kotak Muffin / Kotak Kue / Kotak Souvenir tenteng / Box Cupcakes;Putih,Pakai lobang;
